Now Time,500ETF,call_202403_5.25,call_202406_5.25,call_reverse_value,call_reverse_profit_5.25
2023-12-27 13:45:39.278334,5.364,0.226,0.2628,-368,-9
2023-12-27 13:46:51.314364,5.363,0.2244,0.2639,-395,-36
2023-12-27 13:48:03.570658,5.361,0.2217,0.2641,-424,-65
2023-12-27 13:49:15.737928,5.361,0.2218,0.2658,-440,-81
2023-12-27 13:50:28.060847,5.358,0.2228,0.2658,-430,-71
2023-12-27 13:51:40.147266,5.356,0.2228,0.2646,-418,-59
2023-12-27 13:52:52.562386,5.354,0.2228,0.2633,-405,-46
2023-12-27 13:54:04.664732,5.357
2023-12-27 14:05:22.378471,5.355,0.2186,0.2645,-459,-100
2023-12-27 14:06:34.451963,5.356,0.219,0.2645,-455,-96
2023-12-27 14:07:47.580916,5.356,0.2181,0.2645,-464,-105
2023-12-27 14:09:00.168782,5.357,0.2181,0.2645,-464,-105
2023-12-27 14:10:12.270185,5.360,0.2224,0.2645,-421,-62
2023-12-27 14:11:24.209210,5.362,0.2218,0.2645,-427,-68
2023-12-27 14:12:36.170794,5.361,0.2219,0.2645,-426,-67
2023-12-27 14:13:48.201455,5.364,0.2219,0.2645,-426,-67
2023-12-27 14:15:00.330124,5.370,0.2237,0.2645,-408,-49
2023-12-27 14:16:12.419754,5.372,0.2255,0.2645,-390,-31
2023-12-27 14:28:37.436275,5.375,0.2274,0.2727,-453,-94
2023-12-27 14:29:49.530802,5.376,0.2282,0.2727,-445,-86
2023-12-27 14:31:02.031891,5.381,0.2309,0.2727,-418,-59
2023-12-27 14:43:28.023947,5.381,0.2312,0.2767,-455,-96
2023-12-27 14:44:40.083985,5.376,0.2296,0.2767,-471,-112
2023-12-27 14:45:52.629222,5.375,0.2287,0.2776,-489,-130
2023-12-27 14:47:04.708617,5.375,0.2288,0.2776,-488,-129
2023-12-27 14:48:16.688274,5.376,0.2294,0.2776,-482,-123
2023-12-27 14:49:28.599796,5.375,0.23,0.2776,-476,-117
2023-12-27 14:50:40.692232,5.377,0.2292,0.2776,-484,-125
2023-12-27 14:51:57.978262,5.375,0.2293,0.2776,-483,-124
2023-12-27 14:53:11.347793,5.376,0.2282,0.2746,-464,-105
2023-12-27 14:54:24.558093,5.376,0.2282,0.2746,-464,-105
2023-12-27 14:55:38.014922,5.375,0.2286,0.2746,-460,-101
2023-12-27 14:56:51.377350,5.374,0.2296,0.2746,-450,-91
2023-12-27 14:58:05.586251,5.375,0.2296,0.2734,-438,-79
2023-12-27 14:59:18.879286,5.373,0.2296,0.2734,-438,-79
2023-12-28 09:42:06.998545,5.377,0.2252,0.2752,-500,-141
2023-12-28 09:43:20.283899,5.382,0.2321,0.2752,-431,-72
2023-12-28 09:55:46.727591,5.411,0.2512,0.2861,-349,10
2023-12-28 09:57:00.525726,5.410,0.2487,0.2972,-485,-126
2023-12-28 10:08:21.854507,5.427,0.2596,0.2994,-398,-39
2023-12-28 10:09:35.136691,5.434,0.26,0.2994,-394,-35
2023-12-28 10:10:48.337034,5.438,0.2645,0.2994,-349,10
2023-12-28 10:23:16.378508,5.442,0.2725,0.3156,-431,-72
2023-12-28 10:24:29.755817,5.445,0.2735,0.3156,-421,-62
2023-12-28 10:25:42.968133,5.448,0.2735
2023-12-28 10:37:02.924606,5.453,0.2799,0.3169,-370,-11
2023-12-28 10:38:16.143286,5.453,0.2799,0.3218,-419,-60
2023-12-28 10:39:29.353269,5.454,0.2808,0.3194,-386,-27
2023-12-28 10:40:42.514107,5.451,0.2808,0.3194,-386,-27
2023-12-28 10:41:55.911295,5.448,0.2808,0.3194,-386,-27
2023-12-28 10:43:09.105981,5.447,0.2757,0.3194,-437,-78
2023-12-28 10:54:31.979143,5.462,0.2895,0.3279,-384,-25
2023-12-28 10:55:45.254276,5.457,0.2849,0.3279,-430,-71
2023-12-28 10:56:58.989749,5.461,0.2823,0.3221,-398,-39
2023-12-28 10:58:12.343678,5.465,0.2884,0.3221,-337,22
2023-12-28 11:10:36.715026,5.453,0.278,0.3221,-441,-82
