Now Time,Kechuang,call_202409_0.85,call_202412_0.85,call_reverse_value,call_reverse_profit_0.85
2024/6/21 9:41,0.784,0.0138,0.0235,-97,65
2024/6/21 9:42,0.784,0.0137,0.0238,-101,61
2024/6/21 9:43,0.783,0.0135,0.0238,-103,59
2024/6/21 9:45,0.783,0.0137,0.0237,-100,62
2024/6/21 9:46,0.785,0.0139,0.0237,-98,64
2024/6/21 9:47,0.785,0.0141,0.0243,-102,60
2024/6/21 10:00,0.787,0.0145,,,
2024/6/21 10:11,0.787,0.0141,0.0245,-104,58
2024/6/21 10:13,0.786,0.0141,0.0243,-102,60
2024/6/21 10:14,0.785,0.0139,0.0245,-106,56
2024/6/21 10:15,,,,,
2024/6/21 10:26,,,,,
2024/6/21 10:38,0.789,0.0146,0.025,-104,58
2024/6/21 10:39,0.788,0.0145,0.025,-105,57
2024/6/21 10:52,0.789,0.0151,0.0252,-101,61
2024/6/21 10:53,0.787,0.0151,0.0254,-103,59
2024/6/21 10:54,0.787,0.015,0.0253,-103,59
2024/6/21 10:56,0.787,0.0149,0.0252,-103,59
2024/6/21 10:57,0.787,0.0147,0.0251,-104,58
2024/6/21 10:58,0.788,,,,
2024/6/21 11:09,0.786,0.0145,0.025,-105,57
2024/6/21 11:11,0.786,0.0144,,,
2024/6/21 11:22,0.786,0.0147,0.0249,-102,60
2024/6/21 11:23,0.786,0.0147,0.0247,-100,62
2024/6/21 13:10,0.787,0.0143,0.0244,-101,61
2024/6/21 13:11,0.787,0.0143,0.0244,-101,61
2024/6/21 13:13,0.787,0.0144,0.0244,-100,62
2024/6/21 13:14,0.787,0.0144,0.0244,-100,62
2024/6/21 13:15,0.785,0.0143,0.0244,-101,61
2024/6/21 13:16,0.786,0.0142,0.0244,-102,60
2024/6/21 13:18,0.788,0.0145,0.0249,-104,58
2024/6/21 13:19,0.789,0.0149,0.0252,-103,59
2024/6/21 13:20,0.789,0.0149,0.0252,-103,59
2024/6/21 13:21,0.79,0.0153,0.0256,-103,59
2024/6/21 13:45,0.791,0.0157,0.026,-103,59
2024/6/21 13:46,0.791,0.0157,0.026,-103,59
2024/6/21 13:48,0.791,0.0155,0.026,-105,57
2024/6/21 13:49,0.791,0.015,0.026,-110,52
2024/6/21 13:50,0.792,0.0151,0.026,-109,53
2024/6/21 13:51,0.792,0.0154,0.026,-106,56
2024/6/21 13:53,0.793,0.0155,0.026,-105,57
2024/6/21 13:54,0.792,0.0155,0.026,-105,57
2024/6/21 13:55,0.792,0.0155,0.026,-105,57
2024/6/21 13:56,0.792,0.0155,0.026,-105,57
2024/6/21 13:58,0.792,0.0155,0.026,-105,57
2024/6/21 13:59,0.793,0.0157,0.026,-103,59
2024/6/21 14:00,0.793,0.0159,0.026,-101,61
2024/6/21 14:01,0.794,0.016,0.026,-100,62
2024/6/21 14:03,0.793,0.016,0.0265,-105,57
2024/6/21 14:04,0.793,0.016,0.0265,-105,57
2024/6/21 14:05,0.793,0.0161,0.0265,-104,58
2024/6/21 14:07,0.792,0.016,0.0266,-106,56
2024/6/21 14:08,0.791,0.0157,0.0266,-109,53
