距到期天数,平均盈利,标准差,样本数,最大值,最小值
96,-5.6461538461538465,,1,-5.6461538461538465,-5.6461538461538465
93,14.876712328767123,,1,14.876712328767123,14.876712328767123
92,18.558823529411764,,1,18.558823529411764,18.558823529411764
91,-38.686683006535944,64.74821971291426,2,7.097222222222222,-84.47058823529412
90,7.693976950876994,46.3741559672225,6,60.058394160583944,-54.91525423728814
89,38.93157873531212,58.07721039002125,6,109.22857142857143,-37.458333333333336
86,-29.181725415548357,128.91875191929628,6,64.84516129032258,-275.40909090909093
85,2.3863429340117315,48.873348694184074,7,61.50588235294118,-63.01020408163265
84,-9.556865131285846,65.64677636520693,5,67.67241379310344,-106.70175438596492
83,-9.76996756903026,82.33356737413948,5,92.30645161290323,-132.72368421052633
82,8.589990471676208,137.62375957892885,4,143.06875,-157.76923076923077
79,35.23159903702034,160.33120697770119,6,211.8562091503268,-213.15068493150685
78,-28.6175404277715,236.32791422992247,6,243.91358024691357,-382.3448275862069
77,16.401003867752284,152.2151961783259,7,233.27642276422765,-160.7037037037037
76,113.3537250819078,300.6981830567524,8,804.5085714285714,-129.2090395480226
75,32.98237091057449,137.8832060173554,8,219.1404958677686,-137.8450704225352
72,15.718738768333841,151.86197917234057,8,289.11242603550295,-169.2134831460674
71,87.60701849190147,319.7571496201105,8,803.0965909090909,-217.7865168539326
70,71.51066349778264,322.40169329555636,8,769.2857142857143,-265.0391061452514
69,27.74283247461348,209.5888778561893,8,416.3050847457627,-191.24260355029585
68,44.27645742616615,212.99374589299111,8,451.5511363636364,-204.92045454545453
65,-20.029277475602186,138.48985629380093,7,176.8181818181818,-202.64772727272728
64,75.60582683253534,252.24936749040077,8,578.9548022598871,-236.5
63,-145.5939768863387,477.1000350017019,8,184.14285714285714,-1261.9591836734694
62,101.97212963375122,341.17542078552714,8,854.6259541984733,-219.79310344827587
61,28.98753956967913,247.24889506470848,8,477.38028169014086,-282.09090909090907
58,-34.03947556229966,185.82534228519924,8,176.41142857142856,-293.26011560693644
57,6.383375152341429,196.2571272492818,8,252.11363636363637,-282.2471264367816
56,84.86256667055565,277.5235787542188,7,604.7368421052631,-240.41420118343194
55,-46.922402318367794,142.19288936774552,6,163.9142857142857,-264.67058823529413
54,85.22212749237879,320.78918570111574,6,676.349593495935,-283.9
51,-40.707127805611925,172.71134724837543,6,155.0,-309.2564102564103
50,-8.708808155446093,198.91541039736683,6,306.0632183908046,-298.8392857142857
49,-45.95492018314618,259.15428993236446,7,394.53977272727275,-385.6994219653179
48,-76.7403529764695,252.66944071504588,8,357.23121387283237,-476.9884393063584
47,-85.57340205884692,273.5940360646617,8,376.6264367816092,-539.0
44,-162.36412189130192,516.2927565015599,8,521.4914285714286,-1289.6
43,149.8602769565544,505.8731786130966,8,1233.1920903954801,-291.9712643678161
42,183.20817466333438,573.6429725824329,8,1387.96875,-306.03614457831327
41,941.689635697562,2691.844056913694,8,7571.616279069767,-329.7440476190476
40,73.76962057555234,345.6619060862733,8,654.6022727272727,-335.93975903614455
37,-210.3336039190825,577.6209943992869,9,606.4022988505748,-1496.2105263157894
36,-137.2252802934846,491.14313970528013,9,719.1420454545455,-1072.304347826087
35,-256.1604533101836,807.0164803372894,9,717.5485714285714,-2183.936305732484
34,-274.528767083812,892.887556846741,9,712.061797752809,-2448.877551020408
33,56.74666550376991,424.5292745899721,9,900.3139534883721,-677.8181818181819
30,73.88313438452279,469.3734028984074,9,1061.9257142857143,-705.8854166666666
29,921.7648953743969,2672.6070364994684,9,7919.28323699422,-768.6666666666666
28,162.91159180701212,607.2111415130787,9,1306.9494382022472,-760.5056179775281
27,1248.9649164964649,3656.754367994716,9,10899.063218390804,-818.4489795918367
26,479.4959635862897,1399.669552870663,9,3889.885057471264,-812.3396226415094
23,291.52386811200046,847.3560264753398,8,1602.6647398843932,-822.5480769230769
22,69.30995855096901,602.5678794137185,8,1317.826815642458,-832.1758241758242
21,41.8577751310701,577.0518416834209,8,1204.1647727272727,-861.2352941176471
20,19.46204409020157,515.838232955192,8,1007.1363636363636,-830.1914893617021
19,40.11622914769352,582.0504162039638,8,1217.6306818181818,-844.4266666666666
16,24.243737563809685,696.9942938528593,7,1389.3068181818182,-800.3333333333334
15,99.59780427806956,816.8283013488693,8,1954.391061452514,-781.1634615384615
14,487.93460925054455,1485.7977429274817,9,4070.8563218390805,-791.3148148148148
13,374.5634498533019,1176.9460039871362,9,2918.2569444444443,-818.5416666666666
12,221.26151367047953,848.0075306758334,9,1623.2738095238096,-861.0526315789474
9,456.04766009544556,1156.2772687323768,7,2488.383647798742,-638.3295454545455
8,-4.54372875846015,1499.5952744325646,7,2930.8947368421054,-2073.4864864864867
7,1680.5834738523602,4248.356217723207,8,12008.254437869822,-708.0652173913044
6,942.54204240464,2232.90108245105,8,6155.8141025641025,-741.0
5,411.6056246653539,1043.1184549186805,7,1871.3148148148148,-905.6741573033707
2,374.1027757615944,1005.7386812324925,7,1845.0,-982.4375
1,319.76198356237916,1258.805851519865,6,1995.1797752808989,-1247.8455882352941
0,131.4176561597702,1367.7964840062891,6,1840.8652482269504,-1542.247191011236
