日期,净值,年化,上证指数,美国十年期国债,上证50,沪深300,中国十年期国债,美元汇率
2025/4/21,1,0.00%,3276.73,4.4341,2657.64,3772.52,1.65,7.3195
2025/4/25,0.9996,-3.44%,3297.29,4.315,2655.36,3784.36,1.667,7.3088
2025/4/28,0.9991,-4.59%,3288.41,4.269,2651.23,3781.62,1.656,7.3144
2025/5/6,0.9983,-4.01%,3316.11,4.367,2647.72,3808.54,1.632,7.2045
2025/5/29,0.9961,-3.64%,3363.45,4.519,2690.89,3858.7,1.724,7.2061
2025/8/24,1.058,20.37%,3825.76,4.258,2928.61,4378,1.789,7.1567
2025/11/2,1.0929,19.51%,3958.38,4.099,3005.41,4622.67,1.746,7.1047
2025/12/17,1.1156,19.17%,3870.8,4.167,2993.13,4579.72,1.844,7.0387
2025/12/26,1.1221,19.51%,3963.68,4.153,3045.4,4657.24,1.833,6.9957
2025/12/31,1.1272,20.17%,3968.84,4.119,3031.13,4629.94,1.848,6.982
