date,etf,strike,avg_reverse_value,std_reverse_value,min_reverse_value,max_reverse_value,avg_reverse_profit,std_reverse_profit,min_reverse_profit,max_reverse_profit,final_reverse_profit,profit_positive_ratio
20230727,50ETF,2.65,-257.67208762031197,109.73021767677378,-434.0,-98.0,116.32791237968802,109.73021767677378,-60.0,276.0,248.0,0.7904082309990044
20230727,300ETF,4.0,-250.18992829748208,120.18191866636073,-463.0,-90.0,258.8100717025179,120.18191866636073,46.0,419.0,394.0,1.0
20230727,500ETF,6.0,-465.54769076305223,107.86998404295811,-656.0,-155.0,25.45230923694779,107.86998404295811,-165.0,336.0,325.0,0.5302878179384204
20230727,Kechuang,1.0,-162.9786698018139,38.35219717606744,-246.0,-96.0,-17.978669801813908,38.35219717606744,-101.0,49.0,36.0,0.3656365468592543
20231227,50ETF,2.3,-453.1605710401088,124.99202877254555,-657.0,1704.0,-44.16057104010877,124.99202877254555,-248.0,2113.0,-16.0,0.2550645819170632
20231227,300ETF,3.4,-675.9330011074197,93.75174783365752,-891.0,-501.0,-77.93300110741971,93.75174783365752,-293.0,97.0,-237.0,0.2448781838316722
20231227,500ETF,5.25,-772.9040673211781,350.19604119977475,-2205.0,-163.0,-413.9040673211781,350.19604119977475,-1846.0,196.0,-1846.0,0.05217391304347826
20231227,Kechuang,0.85,-186.0648854961832,53.97808806255468,-302.0,-66.0,-39.06488549618321,53.97808806255468,-155.0,81.0,-46.0,0.1734520780322307
20240325,50ETF,2.45,-495.2263880938752,49.64954302282344,-683.0,1096.0,-39.226388093875215,49.64954302282343,-227.0,1552.0,-215.0,0.10260446479679451
20240325,300ETF,3.6,-738.2378401852924,74.05122310889209,-915.0,-589.0,-109.23784018529241,74.05122310889209,-286.0,40.0,-151.0,0.05240301100173712
20240325,500ETF,5.5,-923.865748204602,97.60747635725416,-1134.0,-520.0,-87.86574820460208,97.60747635725416,-298.0,316.0,313.0,0.215594313351898
20240325,Kechuang,0.85,-139.52018932110636,17.36486920675484,-184.0,-88.0,22.479810678893656,17.364869206754843,-22.0,74.0,13.0,0.8909924567371691
20240620,50ETF,2.45,-375.88620529493727,64.23287380145118,-739.0,-204.0,-18.886205294937298,64.23287380145118,-382.0,153.0,-372.0,0.2185322805387831
20240620,300ETF,3.5,-467.2492753623188,108.21428138325837,-1203.0,-197.0,17.75072463768116,108.21428138325837,-718.0,288.0,-560.0,0.471256038647343
20240620,500ETF,5.25,-377.82439152054434,130.68307369528665,-990.0,-127.0,152.17560847945563,130.68307369528662,-460.0,403.0,-44.0,0.9170374247579168
20240620,Kechuang,0.85,-67.83467406380028,28.475223695755478,-119.0,-16.0,94.16532593619972,28.475223695755478,43.0,146.0,126.0,1.0
20240926,50ETF,2.5,-436.84068109820487,320.9224638685439,-1500.0,3985.0,-51.840681098204854,320.92246386854384,-1115.0,4370.0,-12.0,0.12631995776135163
20240926,300ETF,3.5,-163.70131073745532,1559.4612581929346,-7510.0,7419.0,270.2986892625447,1559.4612581929346,-7076.0,7853.0,-48.0,0.36660929432013767
20240926,500ETF,4.8,921.0587141339001,4409.721240407525,-14988.0,15500.0,1492.0587141339001,4409.721240407525,-14417.0,16071.0,746.0,0.901567481402763
20240926,Kechuang,0.7,74.80970149253731,669.0750977077349,-3520.0,4120.0,176.8097014925373,669.0750977077349,-3418.0,4222.0,247.0,0.826226012793177
20241226,50ETF,2.75,-622.8142614601019,82.1041585193399,-882.0,-487.0,2.1857385398981326,82.1041585193399,-257.0,138.0,-235.0,0.6597623089983022
20241226,300ETF,4.1,-874.6394650345687,123.54243107504531,-1213.0,626.0,-13.63946503456874,123.54243107504531,-352.0,1487.0,-83.0,0.4652612490082738
20241226,500ETF,6.0,-1027.0481216660992,197.27783078556166,-1625.0,982.0,-69.04812166609919,197.27783078556166,-667.0,1940.0,-511.0,0.3029168085347861
20241226,Kechuang,1.1,-358.7881577451983,52.46745830685675,-519.0,520.0,-58.78815774519832,52.467458306856756,-219.0,820.0,-196.0,0.06784861916126833
20250331,50ETF,2.75,-543.5681043129388,82.81249025477959,-762.0,-90.0,-27.568104312938818,82.81249025477959,-246.0,426.0,-70.0,0.5675025075225677
20250331,300ETF,4.0,-681.2176529588767,100.038648210724,-1370.0,-403.0,17.78234704112337,100.038648210724,-671.0,296.0,-671.0,0.6747241725175527
20250331,500ETF,6.0,-632.3777710903802,150.38759491147462,-1598.0,-203.0,-9.377771090380179,150.38759491147462,-975.0,420.0,-828.0,0.5813020363125689
20250331,Kechuang,1.1,-228.6594442772595,27.128330385827322,-314.0,-21.0,10.340555722740495,27.128330385827322,-75.0,218.0,-59.0,0.5692647206339653
20250701,50ETF,2.8,-429.7083995141549,207.96931532352468,-641.0,2896.0,24.29160048584509,207.96931532352468,-187.0,3350.0,115.0,0.5063066429972904
20250701,300ETF,4.0,-317.91301504251146,715.751709351139,-6330.0,6514.0,186.08698495748857,715.751709351139,-5826.0,7018.0,444.0,0.6543025320003737
20250701,500ETF,6.0,264.3242081659348,960.7717959721209,-11469.0,12624.0,722.3242081659348,960.7717959721209,-11011.0,13082.0,1844.0,0.7809025506867233
20250701,Kechuang,1.05,-130.84636949817775,198.44438883698285,-327.0,4326.0,97.15363050182226,198.44438883698285,-99.0,4554.0,532.0,0.48771142883842633
20250925,50ETF,3.1,-651.0476758045291,53.43175599338988,-763.0,1466.0,-65.0476758045292,53.43175599338987,-177.0,2052.0,-139.0,0.10107270560190704
20250925,300ETF,4.7,-941.1472341440152,120.53591390855611,-1119.0,1573.0,-262.1472341440153,120.53591390855613,-440.0,2252.0,-411.0,0.021101573676680974
20250925,500ETF,7.5,-1029.9359723381424,121.67615283804153,-1278.0,-651.0,-210.93597233814236,121.67615283804153,-459.0,168.0,-411.0,0.08000476928579946
20250925,Kechuang,1.55,-390.8734494274809,57.22698174845916,-508.0,-260.0,-146.87344942748092,57.22698174845916,-264.0,-16.0,-142.0,0.0
